LocalisedField254,LocalisedField253,LocalisedField252
"City, State: Colonial Heights,  , VA",Store Number: 2048,Manager: Max Croston

Textbox47,Textbox49,Textbox53,Textbox51,Textbox57,Textbox55,Textbox61,Textbox63,Textbox65,Textbox67,Textbox69,Textbox75,Textbox73,Textbox71,Textbox59,Textbox87,Textbox89,Textbox94,Textbox125,Textbox96,Textbox95,Textbox97,Textbox98,Textbox99,Textbox100,Textbox101,Textbox102,Textbox103,Textbox104,Textbox105,Textbox106,Textbox111,Textbox112,Textbox113,Textbox114,Textbox115,Textbox116,Textbox117,Textbox118,Textbox119,Textbox120,Textbox121,Textbox122,Textbox123,Textbox124,Description,Total,Quantity,WedAM,WedPM,ThuAM,ThuPM,FriAM,FriPM,SatAM,SatPM,SunAM,SunPM,MonAM,MonPM,TueAM,TuePM
Sales Item,Summary,#EA,Wed-1,Wed-2,Thur-3,Thur-4,Fri-5,Fri-6,Sat-7,Sat-8,Sun-9,Sun-10,Mon-11,Mon-12,Tues-13,Tues-14,9/4/2019,9/4/2019,9/5/2019,9/5/2019,9/6/2019,9/6/2019,9/7/2019,9/7/2019,9/8/2019,9/8/2019,9/9/2019,9/9/2019,9/10/2019,9/10/2019,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,IN-Sub,"1,920.65",402,140.70,128.90,127.20,134.70,159.35,155.45,127.35,153.30,132.60,88.10,171.65,158.05,104.10,139.20
Sales Item,Summary,#EA,Wed-1,Wed-2,Thur-3,Thur-4,Fri-5,Fri-6,Sat-7,Sat-8,Sun-9,Sun-10,Mon-11,Mon-12,Tues-13,Tues-14,9/4/2019,9/4/2019,9/5/2019,9/5/2019,9/6/2019,9/6/2019,9/7/2019,9/7/2019,9/8/2019,9/8/2019,9/9/2019,9/9/2019,9/10/2019,9/10/2019,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,IN-Club,"3,731.45",488,299.35,257.25,264.00,231.10,176.10,265.30,161.70,289.10,296.80,351.30,320.20,227.60,309.90,281.75
Sales Item,Summary,#EA,Wed-1,Wed-2,Thur-3,Thur-4,Fri-5,Fri-6,Sat-7,Sat-8,Sun-9,Sun-10,Mon-11,Mon-12,Tues-13,Tues-14,9/4/2019,9/4/2019,9/5/2019,9/5/2019,9/6/2019,9/6/2019,9/7/2019,9/7/2019,9/8/2019,9/8/2019,9/9/2019,9/9/2019,9/10/2019,9/10/2019,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,IN-Pop,654.30,376,68.80,42.75,65.25,30.75,41.05,43.30,42.85,29.20,70.85,24.40,60.95,44.55,61.45,28.15
Sales Item,Summary,#EA,Wed-1,Wed-2,Thur-3,Thur-4,Fri-5,Fri-6,Sat-7,Sat-8,Sun-9,Sun-10,Mon-11,Mon-12,Tues-13,Tues-14,9/4/2019,9/4/2019,9/5/2019,9/5/2019,9/6/2019,9/6/2019,9/7/2019,9/7/2019,9/8/2019,9/8/2019,9/9/2019,9/9/2019,9/10/2019,9/10/2019,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,IN-Side,651.75,456,51.75,24.25,58.75,32.00,89.25,41.25,38.25,31.75,61.25,50.75,47.00,28.50,64.50,32.50
Sales Item,Summary,#EA,Wed-1,Wed-2,Thur-3,Thur-4,Fri-5,Fri-6,Sat-7,Sat-8,Sun-9,Sun-10,Mon-11,Mon-12,Tues-13,Tues-14,9/4/2019,9/4/2019,9/5/2019,9/5/2019,9/6/2019,9/6/2019,9/7/2019,9/7/2019,9/8/2019,9/8/2019,9/9/2019,9/9/2019,9/10/2019,9/10/2019,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,DEL-Sub,716.00,123,93.60,41.85,93.80,36.35,93.30,57.60,34.95,5.25,31.25,36.35,62.00,25.85,62.25,41.60
Sales Item,Summary,#EA,Wed-1,Wed-2,Thur-3,Thur-4,Fri-5,Fri-6,Sat-7,Sat-8,Sun-9,Sun-10,Mon-11,Mon-12,Tues-13,Tues-14,9/4/2019,9/4/2019,9/5/2019,9/5/2019,9/6/2019,9/6/2019,9/7/2019,9/7/2019,9/8/2019,9/8/2019,9/9/2019,9/9/2019,9/10/2019,9/10/2019,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,DEL-Club,"1,124.05",149,101.25,60.60,87.45,65.75,137.05,92.60,54.00,60.75,60.60,77.20,130.75,72.35,70.00,53.70
Sales Item,Summary,#EA,Wed-1,Wed-2,Thur-3,Thur-4,Fri-5,Fri-6,Sat-7,Sat-8,Sun-9,Sun-10,Mon-11,Mon-12,Tues-13,Tues-14,9/4/2019,9/4/2019,9/5/2019,9/5/2019,9/6/2019,9/6/2019,9/7/2019,9/7/2019,9/8/2019,9/8/2019,9/9/2019,9/9/2019,9/10/2019,9/10/2019,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,DEL-Pop,161.70,86,25.40,7.80,14.55,7.40,19.10,13.65,11.30,5.65,13.05,1.95,21.05,0.00,13.00,7.80
Sales Item,Summary,#EA,Wed-1,Wed-2,Thur-3,Thur-4,Fri-5,Fri-6,Sat-7,Sat-8,Sun-9,Sun-10,Mon-11,Mon-12,Tues-13,Tues-14,9/4/2019,9/4/2019,9/5/2019,9/5/2019,9/6/2019,9/6/2019,9/7/2019,9/7/2019,9/8/2019,9/8/2019,9/9/2019,9/9/2019,9/10/2019,9/10/2019,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,DEL-Side,282.25,184,36.00,8.75,30.75,7.00,51.00,15.75,21.00,10.50,19.75,8.75,27.25,6.25,23.75,15.75
Sales Item,Summary,#EA,Wed-1,Wed-2,Thur-3,Thur-4,Fri-5,Fri-6,Sat-7,Sat-8,Sun-9,Sun-10,Mon-11,Mon-12,Tues-13,Tues-14,9/4/2019,9/4/2019,9/5/2019,9/5/2019,9/6/2019,9/6/2019,9/7/2019,9/7/2019,9/8/2019,9/8/2019,9/9/2019,9/9/2019,9/10/2019,9/10/2019,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,Party Sub,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sales Item,Summary,#EA,Wed-1,Wed-2,Thur-3,Thur-4,Fri-5,Fri-6,Sat-7,Sat-8,Sun-9,Sun-10,Mon-11,Mon-12,Tues-13,Tues-14,9/4/2019,9/4/2019,9/5/2019,9/5/2019,9/6/2019,9/6/2019,9/7/2019,9/7/2019,9/8/2019,9/8/2019,9/9/2019,9/9/2019,9/10/2019,9/10/2019,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,Day Old Bread,5.50,11,0.50,1.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50
